administration,State,start_PC_PI,end_PC_PI,dif_PC_PI,start_PC_DPI,end_PC_DPI,dif_PC_DPI,start_PC_PCE,end_PC_PCE,dif_PC_PCE,vote,presidental_party,US_start_PC_PI,US_end_PC_PI,US_dif_PC_PI,US_start_PC_DPI,US_end_PC_DPI,US_dif_PC_DPI,US_start_PC_PCE,US_end_PC_PCE,US_dif_PC_PCE,PC_PI_dif,PC_DPI_dif,PC_PCE_dif
Obama,West Virginia,31653,37075,5422,28992,33584,4592,27627,34298,6671,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-4245,-2792,-324
Obama,Wyoming,44499,53419,8920,40914,48094,7180,33487,40450,6963,Republican,Democrat,39307,48974,9667,35555,42939,7384,32243,39238,6995,-747,-204,-32
Trump,Alabama,39968,45872,5904,36166,41842,5676,33014,34980,1966,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-2241,-1964,-261
Trump,Alaska,56500,61903,5403,51925,57377,5452,47075,47898,823,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-2742,-2188,-1404
Trump,Arkansas,41403,47129,5726,37340,42988,5648,32786,35053,2267,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-2419,-1992,40
Trump,California,58214,70100,11886,49753,60040,10287,44443,47788,3345,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,3741,2647,1118
Trump,Delaware,49997,55518,5521,44182,48993,4811,43874,45072,1198,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-2624,-2829,-1029
Trump,District of Columbia,79567,90741,11174,67462,76361,8899,66528,70129,3601,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,3029,1259,1374
Trump,Hawaii,50506,57026,6520,44873,50878,6005,42053,44167,2114,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-1625,-1635,-113
Trump,Idaho,41197,49724,8527,36993,44575,7582,32708,34762,2054,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,382,-58,-173
Trump,Illinois,53056,61579,8523,46563,54461,7898,41754,43940,2186,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,378,258,-41
Trump,Kansas,48271,55231,6960,43314,49639,6325,36709,38636,1927,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-1185,-1315,-300
Trump,Kentucky,40403,47086,6683,36142,42671,6529,34455,36543,2088,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-1462,-1111,-139
Trump,Louisiana,43486,50179,6693,39588,46443,6855,35578,37474,1896,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-1452,-785,-331
Trump,Maine,45905,54330,8425,41146,48866,7720,43241,46227,2986,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,280,80,759
Trump,Maryland,58245,64868,6623,50294,56202,5908,43142,43697,555,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-1522,-1732,-1672
Trump,Massachusetts,66069,77493,11424,55814,66250,10436,50984,52805,1821,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,3279,2796,-406
Trump,Minnesota,53826,61370,7544,46524,53728,7204,43519,43698,179,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-601,-436,-2048
Trump,Mississippi,36579,42462,5883,33647,39384,5737,30951,32835,1884,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-2262,-1903,-343
Trump,Missouri,44781,52206,7425,39922,47079,7157,38477,40319,1842,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-720,-483,-385
Trump,Montana,45369,53569,8200,40536,47817,7281,39682,42216,2534,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,55,-359,307
Trump,Nebraska,49533,56909,7376,44422,51309,6887,38865,40431,1566,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-769,-753,-661
Trump,New Jersey,61704,70444,8740,53134,61563,8429,46727,48965,2238,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,595,789,11
Trump,New York,62206,70412,8206,51954,59790,7836,45818,47900,2082,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,61,196,-145
Trump,North Dakota,51830,60447,8617,46788,55414,8626,43075,45072,1997,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,472,986,-230
Trump,Oklahoma,43873,49991,6118,39773,46032,6259,33225,34853,1628,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-2027,-1381,-599
Trump,Oregon,47566,56659,9093,41260,49827,8567,39694,42258,2564,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,948,927,337
Trump,Rhode Island,50414,59275,8861,44563,52947,8384,41036,43241,2205,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,716,744,-22
Trump,South Carolina,42385,48760,6375,38076,43998,5922,36010,38238,2228,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-1770,-1718,1
Trump,South Dakota,49408,59586,10178,45204,54950,9746,38779,41380,2601,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,2033,2106,374
Trump,Texas,48524,54822,6298,43629,50037,6408,38071,40273,2202,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-1847,-1232,-25
Trump,Utah,43030,51762,8732,38189,45678,7489,34413,38196,3783,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,587,-151,1556
Trump,Vermont,50009,58156,8147,44736,52310,7574,44889,47287,2398,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,2,-66,171
Trump,Washington,56800,67665,10865,50465,60467,10002,43732,46237,2505,Democrat,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,2720,2362,278
Trump,West Virginia,38841,44897,6056,35262,41251,5989,35124,37467,2343,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,-2089,-1651,116
Trump,Wyoming,56378,65093,8715,50609,58207,7598,41472,44432,2960,Republican,Republican,51006,59151,8145,44737,52377,7640,40693,42920,2227,570,-42,733
